QID1,QID100,QID101,QID102_TEXT,QID103_TEXT,QID104_1,QID104_11,QID104_12,QID104_13,QID104_15,QID104_18,QID104_19,QID104_2,QID104_3,QID104_33,QID104_34,QID104_35,QID104_36,QID104_37,QID104_4,QID104_6,QID104_7,QID104_8,QID104_9,QID105_TEXT,QID106_TEXT,QID107,QID108,QID109,QID110_TEXT,QID111_TEXT,QID112_1,QID112_11,QID112_12,QID112_13,QID112_15,QID112_17,QID112_18,QID112_19,QID112_2,QID112_3,QID112_33,QID112_34,QID112_35,QID112_36,QID112_4,QID112_6,QID112_7,QID112_8,QID112_9,QID113_TEXT,QID114_TEXT,QID115,QID116,QID118_TEXT,QID119_TEXT,QID120_1,QID120_11,QID120_15,QID120_17,QID120_18,QID120_3,QID120_33,QID120_34,QID120_37,QID120_38,QID120_39,QID120_4,QID120_54,QID120_6,QID120_7,QID120_72,QID120_8,QID120_93,QID120_94,QID120_95,QID120_96,QID120_97,QID120_98,QID121_TEXT,QID122_TEXT,QID123,QID124,QID127,QID128,QID129,QID130,QID131,QID132,QID137,QID138_TEXT,QID139,QID140_1,QID140_2,QID140_3,QID141,QID141_NPS_GROUP,QID142_TEXT,QID143,QID2,QID31,QID32,QID36,QID38_TEXT,QID58,QID59,QID60,QID61,QID62,QID66,QID67,QID69,QID71,QID72,QID73,QID74_TEXT,QID75_TEXT,QID77,QID78,QID79,QID80_TEXT,QID81_TEXT,QID82_1,QID82_10,QID82_11,QID82_12,QID82_13,QID82_14,QID82_15,QID82_16,QID82_17,QID82_18,QID82_19,QID82_2,QID82_3,QID82_33,QID82_34,QID82_35,QID82_36,QID82_37,QID82_38,QID82_39,QID82_4,QID82_40,QID82_41,QID82_42,QID82_43,QID82_44,QID82_45,QID82_6,QID82_67,QID82_68,QID82_7,QID82_8,QID82_9,QID83_TEXT,QID84_TEXT,QID85,QID86,QID87,QID88,QID89_TEXT,QID90_TEXT,QID91,QID92,QID93,QID94_TEXT,QID95_TEXT,QID96_1,QID96_11,QID96_12,QID96_13,QID96_15,QID96_17,QID96_18,QID96_19,QID96_2,QID96_3,QID96_33,QID96_34,QID96_35,QID96_36,QID96_39,QID96_4,QID96_40,QID96_6,QID96_7,QID96_8,QID96_9,QID97_TEXT,QID98_TEXT,QID99,QID_CED43yt1yc
"Overall, how satisfied are you with this course?","Overall, this training will improve my job performance",This course gave me strategies that I can use immediately with my customers,What in the training today will make you more effective in your role?,Which topic(s) did you wish there was additional or follow-up training on?,Tell us more... - Legal & Compliance,Tell us more... - Business Development,Tell us more... - HR,Tell us more... - Partner & Ecosystems,Tell us more... - Solutions Architecture,Tell us more... - Startup BD Programs,Tell us more... - Finance,"Tell us more... - AWS GCR Business Overview, Key Differentiators",Tell us more... - Marketing,Tell us more... - Commercial Insurance,Tell us more... - Inside Sales,Tell us more... - Introduction to AWS HKT,Tell us more... - Training and Certification,Tell us more... - Public Relations,Tell us more... - Incubator,Tell us more... - InfoSec,Tell us more... - Professional Services,Tell us more... - AWS Support,Tell us more... - Leadership Principles,"If you rated session(s) as Amazing or Good, please take a moment to tell us why","If you rated session(s) as Improvement Required, Not Great, and/or Indifferent, please take a moment to tell us why","Overall, this training was a good investment of my time","Overall, this training will improve my job performance",This course gave me strategies that I can use immediately with my customers,What in the training today will make you more effective in your role?,Which topic(s) did you wish there was additional or follow-up training on?,Tell us more... - Public Sector Overview,Tell us more... - Cloud Economics & Strategic Decision Making,Tell us more... - Enterprise Strategy,Tell us more... - Sales Operations,Tell us more... - Tax,Tell us more... - AWS Platform,Tell us more... - Training and Certification,Tell us more... - Customer Obsessed Forecasting & Optimization,Tell us more... - AWS Marketplace,Tell us more... - SA Overview,Tell us more... - Commercial Sales,Tell us more... - Partner Overview,Tell us more... - Platform Business Development,Tell us more... - Welcome and Introduction,Tell us more... - HR & Recruitment,Tell us more... - New Media and Edge Services,Tell us more... - Startups,Tell us more... - AWS Support,Tell us more... - Professional Services,"If you rated session(s) as Amazing or Good, please take a moment to tell us why","If you rated session(s) as Improvement Required, Not Great, and/or Indifferent, please take a moment to tell us why","Overall, this training was a good investment of my time","Overall, this training will improve my job performance",What in the training today will make you more effective in your role?,Which topic(s) did you wish there was additional or follow-up training on?,Tell us more... - Partner Alliance & APN,"Tell us more... - AWSJ Organization, Sales Teams and Roles",Tell us more... - Sales Operations,Tell us more... - Solution Architect,Tell us more... - Training and Certification,Tell us more... - Professional Services,Tell us more... - Business Development,Tell us more... - Marketing,Tell us more... - Our Leadership Principles/ Group Discussion,Tell us more... - Security & Compliance,Tell us more... - Tax,Tell us more... - HR,Tell us more... - Social Media Training,Tell us more... - Legal,Tell us more... - Public Sector,Tell us more... - Field Enablement,Tell us more... - AWS Support,Tell us more... - Day 1 Lunch/ Self-introduction,Tell us more... - Day 2 Networking Lunch,Tell us more... - Nagasaki-san's Address,Tell us more... - Narrative Writing Basics,Tell us more... - AWSJ Technical Teams and Roles,"Tell us more... - Do's and Dont's, QA","If you rated session(s) as Amazing or Good, please take a moment to tell us why","If you rated session(s) as Improvement Required, Not Great, and/or Indifferent, please take a moment to tell us why",I plan to take the AWS Certification exam aligned to this course,"After completing this course, I feel sufficiently prepared to take the related AWS Certification exam",The instructor presented the course in a clear and logical manner.,The instructor was available to answer questions.,The instructor was knowledgeable in the subject matter.,The virtual delivery method was an effective way for me to learn the material.,"I was satisfied with
the overall virtual classroom training tool.","I found the virtual classroom training tool user friendly
and easy to navigate.","If applicable, the infrastructure and lab environment functioned correctly.",What would you recommend changing about this course?,"We want to make your experience even better. Are you willing to have a follow up conversation if we would like to dive deep into some of your feedback/survey responses?  



If you agree to share your personal information, your survey responses will be associated with your name and email address solely to contact you about a further survey or interview about your responses. If you select no, your responses will remain anonymous See Privacy Notice",What is your preferred contact information? - Email,What is your preferred contact information? - First Name,What is your preferred contact information? - Last Name,"On a scale from 0-10, how likely are you to recommend AWS Training and Certification to a colleague or friend? (0= Not at all likely, 10=Extremely Likely)","On a scale from 0-10, how likely are you to recommend AWS Training and Certification to a colleague or friend? (0= Not at all likely, 10=Extremely Likely) - Group",What did you like most about the course?,Hands-on lab exercises helped me practice and reinforce the technical concepts covered in the curriculum.,I learned NEW knowledge and skills that I can apply when working with AWS services.,The content was clearly written and well organized.,The course length and pace were appropriate for the content.,How likely is it that you would recommend this course to a friend or colleague?,Additional Feedback:,The venue was in a suitable location.,"If applicable, the infrastructure and lab environment functioned correctly.",The instructor was knowledgeable in the subject matter.,The instructor presented the course in a clear and logical manner.,The instructor was available to answer questions.,The online delivery method was an effective way for me to learn the material.,The content met my learning objectives and was appropriate.,Knowledge assessments were relevant to the content covered in the curriculum.,Hands-on lab exercises helped me practice and reinforce the technical concepts covered in the curriculum.,My Instructor was knowledgeable in the subject matter and presented the curriculum in a clear and logical manner.,"After completing this course, I feel more confident in my knowledge of cloud computing and in using AWS services and solutions.",What did you like most about the course?,What aspects (if any) of the course could be changed to make it more effective?,"Overall, this training was a good investment of my time","Overall, this training will improve my job performance",This course gave me strategies that I can use immediately with my customers,What in the training today will make you more effective in your role?,Which topic(s) did you wish there was additional or follow-up training on?,Tell us more... - Human Resources,Tell us more... - Narrative Culture,Tell us more... - Compute Services,Tell us more... - Database/ ML/ AI Services,Tell us more... - Leadership Principles,Tell us more... - OBAM,Tell us more... - Marketing,Tell us more... - Partner Overview,Tell us more... - Business Operations,Tell us more... - Microsoft on AWS,Tell us more... - Customer References,Tell us more... - AWS Marketplace,Tell us more... - IoT/ Mobile,Tell us more... - Compete,Tell us more... - PR & AR,Tell us more... - Professional Services,Tell us more... - Sales/ Opening Commentary,Tell us more... - Security,Tell us more... - Social Media,Tell us more... - Solution Architecture,Tell us more... - Demand Generation,Tell us more... - Startups,Tell us more... - Support Services,Tell us more... - Tax,Tell us more... - TCO,Tell us more... - Training and Certification,Tell us more... - How to Thrive at Amazon,Tell us more... - Edge Services,Tell us more... - BD Tooling,Tell us more... - Innovation at AWS,Tell us more... - Legal,Tell us more... - Business Practices,Tell us more... - GovCloud,"If you rated session(s) as Amazing or Good, please take a moment to tell us why","If you rated session(s) as Improvement Required, Not Great, and/or Indifferent, please take a moment to tell us why","Overall, this training will improve my job performance","Overall, this training was a good investment of my time",This course gave me strategies that I can use immediately with my customers,The course content raises the bar for training at AWS,What in the training today will make you more effective in your role?,Which topic(s) did you wish there was additional or follow-up training on?,"Overall, this training was a good investment of my time","Overall, this training will improve my job performance",This course gave me strategies that I can use immediately with my customers,What in the training today will make you more effective in your role?,Which topic(s) did you wish there was additional or follow-up training on?,Tell us more... - PR Overview,Tell us more... - Cloud is the new normal,Tell us more... - Leadership Principles,Tell us more... - Sales Overview,Tell us more... - Tax Overview,Tell us more... - AWS Platform,Tell us more... - Training and Certification,Tell us more... - HR Overview,Tell us more... - Business Development Overview,Tell us more... - Public Sector Overview,Tell us more... - Customer Conversations,Tell us more... - Marketing Overview,"Tell us more... - Opening Key note: Introducing AWS, WW and APAC",Tell us more... - Welcome and Introduction,Tell us more... - Solutions Architecture Overview,Tell us more... - What makes us AWS (compete),Tell us more... - Support Overview,Tell us more... - Legal Overview,Tell us more... - Self- Service tools SMART/SOT/SFDC,Tell us more... - Windows on AWS Overview,Tell us more... - Partner Network Overview,"If you rated session(s) as Amazing or Good, please take a moment to tell us why","If you rated session(s) as Improvement Required, Not Great, and/or Indifferent, please take a moment to tell us why","Overall, this training was a good investment of my time",QID
Satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,The code examples aren't well written code. Just a little bit more effort in the code examples for C# would be great to not feel like it's horrible code to achieve a training purpose (which feels wrong to write bad code in a training course which is meant to teach best practice),No thanks,,,,,Promoter,The hands on labs were well designed technically. Using a combination of the console and an IDE was great.,,Neutral,Agree,Strongly Agree,,,,,,,,,Agree,,Strongly agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Agree,"Probably a bit more emphasis on hands-on lab and less on theory, as this is a course for ""Developing"" on AWS, otherwise it was good",No thanks,,,,,Detractor,"I liked the labs, however most of the code was already written already, would be nice to not have so much code already written, but keeping the solutions class to take reference.",,Agree,Neutral,Disagree,,,,,,,,,Agree,,Neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Agree,Agree,Neutral,Agree,Agree,Strongly agree,,No thanks,,,,,Detractor,"System desigining using s3, api gateway, lambdas, dymano db.
Day 2 was most exciting in which I learned the most",,Agree,Neutral,Disagree,,,,,,,,,Neutral,,Neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Strongly Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Maybe less development best practice (most developers should already know these things), a bit less console use in favour of more development of infracode etc.",No thanks,,,,,Passive,Friendly and warm presenters,,Strongly Agree,Agree,Agree,,,,,,,,,Agree,,Strongly agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extremely Satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,No thanks,,,,,Promoter,well structured and knowledgeable instructors ,,Agree,Strongly Agree,Strongly Agree,,,,,,,,,Strongly Agree,,Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Strongly Agree,Agree,Agree,Agree,Neutral,Strongly agree,More read material avaialable,"Yes, I'd like Amazon Web Services (AWS) to follow up with me",,,,,Passive,Lab,,Strongly Agree,Agree,Neutral,,,,,,,,,Agree,,Strongly agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,No thanks,,,,,Passive,"Practical, learning with practice",,Agree,Agree,Agree,,,,,,,,,Agree,,Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,,Agree,Agree,Strongly agree,At the end of every module an easier overview of what we achieved in the module with an example would be handy. Some of the sections were too detailed for me to get a hold of it. I think it may be because of my basic skill level.,No thanks,,,,,Passive,The instructors were very friendly and approachable,,Agree,Agree,Agree,,,,,,,,,Agree,,Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"It can get a bit overwhelming by the third day, so maybe drop one module and use that time to flesh out the others a bit more.",No thanks,,,,,Promoter,The way Navi always referred back to whiteboard diagrams to explain concepts.,,Strongly Agree,Agree,Neutral,,,,,,,,,Agree,,Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extremely Satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,It's a great course. I learnt a lot. It's difficult doing it remotely,No thanks,,,,,Promoter,Course content is well explained by examples. Labs are well designed,,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,,,,Strongly Agree,,Strongly agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,,No thanks,,,,,Detractor,.,,Agree,Agree,Neutral,,,,,,,,,Agree,,Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extremely Satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Overall it was very good. I found some of Lupco's material was rambling a bit and spent too long on detailed AWS console demos when more theoretical / general info might have been more useful. So I would recommend more presentations in the style of Navi.,No thanks,,,,,Promoter,"The hands on labs were a great way to practice.
The theoretical overview presentations by Navi were very good too.",,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,,,,Strongly Agree,,Strongly agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,,No thanks,,,,,Passive,NA,,Agree,Agree,Agree,,,,,,,,,Strongly Agree,,Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Neutral,Strongly agree,"I think the online format made staying focused over the 3 days tricky. I really enjoyed the labs, I think most of the value came from them. ",No thanks,,,,,Detractor,The labs,,Agree,Agree,Agree,,,,,,,,,Agree,,Strongly agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Strongly agree,more sample exams questions,No thanks,,,,,Passive,Labs and examples in real time,,Agree,Agree,Strongly Agree,,,,,,,,,Agree,,Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Agree,Neutral,Agree,Neutral,Agree,Strongly agree,"more handson and technical examples. Building a problem from the scratch in labs would be nice to have i.e. have a problem, design a solution and then code together.",No thanks,,,,,Detractor,The training environment was good,,Agree,Agree,Neutral,,,,,,,,,Neutral,,Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,